,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
194,23324942,0.06999999999999999,1,1,2.0,0.16,0.33999999999999997,0.76,0.6399999999999999,0.88
195,106475337,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
196,613037773,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
197,31966358,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
198,356068520,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
199,32027749,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
200,4393706,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
201,436060307,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
202,77487112,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
203,30589135,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
204,39270807,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
205,8653450,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
206,288808361,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
207,25374739,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
208,154953614,0.05600000000000001,1,1,2.0,0.14600000000000002,0.32600000000000007,0.746,0.626,0.866
209,670890733,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
210,153988880,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
211,39916812,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
212,24865952,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
213,22791862,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
214,448715667,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
215,613322669,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
216,32235366,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
217,154145184,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
218,60266600,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
219,11816373,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
220,4251661,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
221,4248261,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
222,32037056,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
223,480994622,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
224,38477125,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
225,153967021,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
226,11808842,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
227,139216146,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
228,31618437,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
229,31827602,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
230,39269083,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
231,31823617,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
232,27382625,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
233,23895960,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
234,31572856,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
235,25919158,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
236,39227976,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
237,30325489,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
238,154360662,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
239,169589830,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
240,4480339,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
241,24945511,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
242,155307955,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
243,31975525,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
244,22793024,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
245,270971653,0.063,1,1,2.0,0.153,0.3330000000000001,0.7529999999999999,0.633,0.873
246,153587585,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
247,38860588,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
248,561556013,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
