id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
250,-2.91158,53.412161,3,1,1,1
251,-2.9490369999999997,53.38829200000001,2,1,8,2
252,-2.966943,53.447933,3,4,1,1
253,-2.992029,53.404607999999996,3,4,1,1
254,-2.994166,53.405965,3,1,1,1
255,-2.838661,53.345718999999995,3,1,1,1
256,-2.928588,53.370367,3,1,2,2
257,-2.904897,53.415556,3,1,1,1
258,-2.995131,53.40736,3,1,2,2
259,-2.9923900000000003,53.405288,3,1,1,1
260,-2.979678,53.39406700000001,3,1,1,1
261,-2.961955,53.403074,3,1,1,1
262,-2.891723,53.415843,1,1,1,1
263,-2.958291,53.411373,3,1,1,1
264,-2.968581,53.390175,3,1,1,1
265,-2.955368,53.444070999999994,3,1,1,1
266,-2.948004,53.397999,3,1,1,1
267,-2.976507,53.430282,3,1,1,1
268,-2.970455,53.425612,2,1,1,1
269,-2.982345,53.411277,3,1,1,1
270,-2.961853,53.446543999999996,3,1,1,1
271,-2.963725,53.406169999999996,3,1,1,1
272,-2.981609,53.404164,3,1,1,1
273,-2.9288990000000004,53.426104,2,4,1,1
274,-2.9819299999999997,53.404377000000004,3,4,9,-1
275,-2.8943689999999997,53.397801,3,1,1,1
276,-2.951236,53.404679,3,1,1,1
277,-2.949436,53.394760999999995,3,1,1,1
278,-2.902806,53.355858,3,1,1,1
279,-2.891317,53.40577,3,4,2,2
280,-2.964825,53.420229000000006,3,7,1,1
281,-2.978373,53.405368,3,1,1,1
282,-2.947214,53.472108999999996,3,1,1,1
283,-2.94509,53.40764,3,1,1,1
284,-2.927091,53.398325,3,1,1,1
285,-2.913337,53.413424,3,1,1,1
286,-2.8996470000000003,53.415586,3,1,1,1
287,-2.973927,53.393143,3,1,1,1
288,-2.912632,53.413518999999994,3,1,1,1
289,-2.98894,53.413452,3,1,1,2
290,-2.983479,53.38609,3,4,2,2
291,-2.849847,53.34924399999999,3,1,1,1
292,-2.962237,53.414235999999995,3,1,1,1
293,-2.927159,53.389694999999996,3,1,1,1
294,-2.9895560000000003,53.414076,3,1,1,1
295,-2.9676310000000004,53.44769300000001,3,1,1,1
296,-2.940371,53.398329000000004,3,1,1,1
297,-2.921183,53.406082999999995,3,1,1,1
298,-2.90426,53.452891,3,1,1,1
299,-2.984518,53.435663,3,1,1,1
300,-2.842557,53.342914,3,1,1,1
301,-2.892948,53.383825,3,1,1,1
302,-2.96315,53.373401,2,1,1,1
303,-2.914305,53.409425,3,1,1,1
304,-2.9222799999999998,53.410208999999995,2,1,1,1
305,-2.946471,53.389238,3,7,1,1
306,-2.9163419999999998,53.437006000000004,2,4,1,1
307,-2.949577,53.389582,3,1,1,1
308,-2.969495,53.431049,3,1,1,1
309,-2.955534,53.444095999999995,3,1,1,1
310,-2.9484049999999997,53.408593999999994,3,1,1,1
311,-2.9325810000000003,53.414173999999996,2,4,1,1
312,-2.939818,53.432590000000005,2,1,1,1
313,-2.899742,53.406569999999995,3,1,1,1
314,-2.979885,53.40701800000001,3,1,1,1
315,-2.838197,53.345794,3,1,2,2
316,-2.94791,53.411348,3,4,1,1
317,-2.9222200000000003,53.39909,3,1,1,1
318,-2.943941,53.443433,3,1,1,1
319,-2.9615299999999998,53.40623299999999,2,1,1,1
320,-2.978079,53.40501999999999,3,1,1,1
321,-2.866257,53.38208,2,1,1,1
322,-2.9773549999999998,53.400324,3,1,2,2
323,-2.968948,53.389112,3,1,1,1
324,-2.9376729999999998,53.374798999999996,3,1,1,1
325,-2.967994,53.40937099999999,3,1,2,2
326,-2.9152869999999997,53.394909999999996,3,1,1,1
327,-2.985634,53.434477,3,1,1,1
328,-2.963917,53.445296,3,1,1,1
329,-2.9208950000000002,53.410166000000004,3,1,1,1
330,-2.936195,53.40948100000001,3,1,1,1
331,-2.879809,53.438573999999996,2,1,2,2
332,-2.916745,53.426378,3,1,1,1
333,-2.927581,53.464424,3,1,1,1
334,-2.856437,53.339983999999994,3,1,1,1
335,-2.864532,53.35855,3,1,1,1
336,-2.914334,53.409397999999996,3,4,1,1
337,-2.939767,53.422782999999995,2,1,1,1
338,-2.974128,53.401959999999995,3,1,1,1
339,-2.9466900000000003,53.466153000000006,3,1,1,1
340,-2.980023,53.394684,3,1,1,1
341,-2.8741369999999997,53.427686,2,1,1,1
342,-2.9280720000000002,53.443405000000006,3,1,1,1
343,-2.875169,53.400289,3,1,1,1
344,-2.842864,53.34785600000001,3,1,1,1
345,-2.864518,53.358605000000004,3,4,1,1
346,-2.943319,53.388777000000005,3,1,1,1
347,-2.9703880000000003,53.424651000000004,3,1,1,1
348,-2.989601,53.41279,3,1,1,1
349,-2.919233,53.407743,3,1,1,1
350,-2.872827,53.425484,2,1,1,1
351,-2.913064,53.388698,3,1,1,1
352,-2.982528,53.409442000000006,3,1,1,1
353,-2.86481,53.358899,3,1,1,1
354,-2.959953,53.382272,3,1,1,1
355,-2.865428,53.350840000000005,3,1,1,1
356,-2.979062,53.385587,3,1,1,1
357,-2.885938,53.436462,3,1,1,1
358,-2.96177,53.426868999999996,3,1,1,1
359,-2.8771400000000003,53.431025,3,1,1,1
360,-2.876191,53.385576,3,1,1,1
361,-2.864474,53.35866800000001,3,1,1,2
362,-2.976083,53.394690000000004,2,1,1,1
363,-2.874935,53.413782999999995,3,1,1,1
364,-2.896208,53.420924,3,1,1,1
365,-2.9458029999999997,53.456084,3,1,1,1
366,-2.982534,53.4051,3,1,1,1
367,-2.940454,53.422534999999996,3,4,1,1
368,-2.932624,53.38379200000001,3,4,1,1
369,-2.90825,53.387916000000004,3,1,1,1
370,-2.959798,53.445581000000004,3,1,1,1
371,-2.930543,53.436572,3,1,1,1
372,-2.86987,53.397811,3,1,1,1
373,-2.989277,53.407229,3,1,1,1
374,-2.981965,53.420242,3,1,1,1
375,-2.965474,53.452205000000006,3,1,1,1
376,-2.9077290000000002,53.41925500000001,3,4,1,1
377,-2.938525,53.453184,2,1,1,1
378,-2.976353,53.399937,3,1,1,1
379,-2.985602,53.396625,3,1,1,1
380,-2.932862,53.436626000000004,3,4,1,1
381,-2.923135,53.410113,3,1,1,1
382,-2.881777,53.407063,2,1,1,1
383,-2.919879,53.46976899999999,2,1,1,1
384,-2.971716,53.439983999999995,2,1,1,1
385,-2.947943,53.410818000000006,3,1,1,1
386,-2.978163,53.431635,3,1,1,1
387,-2.920411,53.41004399999999,3,1,1,1
388,-2.852183,53.390271,3,1,1,1
389,-2.871051,53.42031899999999,2,4,1,1
390,-2.9434709999999997,53.423527,3,4,1,1
391,-2.988412,53.425761,3,4,1,1
392,-2.963507,53.437794,2,1,1,1
393,-2.9468669999999997,53.457198999999996,3,1,1,1
394,-2.8985060000000002,53.365725,3,1,1,1
395,-2.933611,53.43716,3,1,1,1
396,-2.858285,53.340051,3,1,1,1
397,-2.932746,53.440951,2,1,1,1
398,-2.8650349999999998,53.35221,3,1,1,1
399,-2.910124,53.432765,3,1,1,1
400,-2.958749,53.41901899999999,3,1,1,1
401,-2.9089810000000003,53.386221,3,1,1,1
402,-2.87826,53.431314,3,1,1,1
403,-2.98295,53.399002,2,4,1,1
404,-2.9060900000000003,53.442675,2,1,1,1
405,-2.967852,53.446163,2,1,1,1
406,-2.966036,53.410565000000005,3,1,1,1
407,-2.950845,53.41412,3,1,1,1
408,-2.872866,53.437672,2,1,1,1
409,-2.914968,53.379343999999996,2,1,1,1
410,-2.92993,53.441602,3,1,1,1
411,-2.9136130000000002,53.365898,3,1,1,1
